id,label,username,name,type,tweet_count,in_degree,out_degree,weighted_in_degree,weighted_out_degree,years,score
1571450405984378884,1571450405984378884,,,derived,0,3769,0,12848,0,,12848
4369581861,@937908Mcm,937908Mcm,MCM #PolíticaSigloXXI/♥️,user,236,159,438,969,4507,2016:4|2017:18|2018:102|2019:112,6184
2996473948,@mtgarcia82,mtgarcia82,M.Teresa,user,252,714,560,2858,2448,2016:21|2017:27|2018:133|2019:71,6062
2560184200,@LILLOTERESA,LILLOTERESA,TERESA LILLO S/❤️,user,239,235,424,673,2759,2015:12|2016:82|2017:56|2018:81|2019:8,4149
2365041789,@lyuva26,lyuva26,Maria S.,user,156,143,349,826,2825,2016:1|2017:2|2018:77|2019:76,4119
956244054,@Marsais_,Marsais_,Mercè Serrano,user,199,364,442,1520,1869,2015:1|2016:44|2017:61|2018:63|2019:30,3986
2497355925,@JosePepehz,JosePepehz,Firthu/❤🅿🆂🅾🅴🇪🇸,user,133,127,293,845,1795,2017:3|2018:62|2019:68,3039
50982086,@PSOE,PSOE,PSOE,user,2,749,3,2362,4,2013:2,2372
300132019,@RenePerle,RenePerle,René .｡.:*🥀 🇵🇸 Siempre Tw 🐦,user,115,415,267,1154,697,2015:26|2016:64|2017:13|2018:7|2019:5,2196
124180350,@DRZRZ,DRZRZ,DIEGO RUIZ RUIZ,user,96,548,182,1296,517,2014:5|2015:4|2016:43|2017:4|2018:28|2019:12,2101
385926996,@1976agus,1976agus,Agustín Ibáñez,user,235,164,315,476,908,2014:35|2015:60|2016:67|2017:44|2018:13|2019:16,2089
207880872,@angelineshc,angelineshc,Ángeles 🌹🌹🌹siglo XXI /❤️ #YoApoyoAlGobierno,user,75,46,193,405,1449,2017:3|2018:56|2019:16,2079
284488502,@odonelorza2011,odonelorza2011,Odón Elorza 🚲 Activista por la Democracia,user,81,420,194,797,937,2016:1|2018:77|2019:3,1977
2809058993,@Nachoanon,Nachoanon,Nacho ❤️ #SanidadPública,user,108,342,301,776,832,2015:2|2016:42|2017:25|2018:32|2019:7,1932
811987431096483840,@Desiderio2015,Desiderio2015,Dhesiderio /❤,user,40,188,82,878,921,2017:2|2018:38,1919
2284013912,@juanjobaldovar,juanjobaldovar,Juanjo 🔻#YOAPOYOALGOBIERNO,user,97,75,230,269,1160,2015:4|2016:20|2017:17|2018:14|2019:42,1720
390895630,@CecilioCastro,CecilioCastro,Cecilio Castro /♥️💛💜 🌹💢 #Agenda2030Forever,user,153,88,285,169,966,2014:13|2015:36|2016:65|2017:16|2018:20|2019:3,1594
255071806,@MatiasAlonso_2,MatiasAlonso_2,Matías Alonso Blasco,user,57,122,182,375,1038,2017:22|2018:33|2019:2,1584
68740712,@sanchezcastejon,sanchezcastejon,Pedro Sánchez,user,3,623,12,1547,14,2011:3,1570
961694088134385666,@MariaAraceliCa6,MariaAraceliCa6,Maria Araceli Carrasco Tapia/♥️,user,54,47,141,206,1091,2018:54,1459
1707625860,@_bdamian,_bdamian,डlas Villalba ♥️🌹🔻🇵🇸,user,68,59,163,368,840,2016:2|2018:12|2019:54,1412
2840032648,@diego952672768,diego952672768,Diego Rodríguez Vega/❤,user,30,169,109,821,464,2017:11|2018:19,1375
824248190128033793,@TorrijosMari,TorrijosMari,Mari Carmen Torrijos,user,34,39,95,386,880,2018:32|2019:2,1368
215019028,@KilianCD,KilianCD,KilianCD🌹#YoApoyoAPedro,user,53,234,153,639,553,2016:1|2017:1|2018:7|2019:44,1351
168439070,@ignaciotrillo,ignaciotrillo,Ignacio Trillo,user,62,29,276,46,1079,2014:1|2015:4|2016:10|2017:2|2018:5|2019:40,1311
311553633,@maika_30,maika_30,Maika /❤️,user,41,45,148,438,738,2016:1|2017:3|2018:28|2019:9,1299
547704782,@ArroyoPepi,ArroyoPepi,pepi arroyo,user,126,53,98,211,699,2014:92|2015:34,1288
957495662,@rgarbor,rgarbor,Rosa Garcia Borbolla,user,97,76,122,383,551,2014:37|2015:23|2016:15|2017:17|2018:4|2019:1,1225
539285981,@marisaparrilla,marisaparrilla,Marisa,user,21,264,93,890,228,2014:1|2015:1|2016:2|2017:6|2018:6|2019:5,1181
282168528,@mjpartera,mjpartera,♀MªJosé,user,90,117,219,246,662,2014:1|2015:1|2016:2|2017:33|2018:30|2019:23,1178
302771697,@kina7783,kina7783,kina_7783/❤️,user,25,46,63,426,654,2018:25,1155
329600772,@GuillemCristo,GuillemCristo,Guillem #FreePalestine 🌹🇵🇸,user,54,66,96,322,591,2018:12|2019:42,1075
447260411,@CristinaNarbona,CristinaNarbona,Cristina Narbona,user,15,300,35,817,53,2014:4|2015:1|2016:1|2017:3|2018:3|2019:3,915
712695469663776769,@pgpnzalo1,pgpnzalo1,Puri Gonzalo 🌹🇪🇺,user,11,110,105,606,174,2017:4|2018:6|2019:1,813
2283319094,@MACUBERNA,MACUBERNA,INMACULADA BERNÁ GIL /❤,user,37,68,114,238,393,2016:12|2017:13|2018:12,742
337193885,@EvaMnguez,EvaMnguez,Eva,user,15,68,60,514,149,2016:13|2018:2,708
1090345747,@Maxferibar,Maxferibar,Maximiliano Fernández,user,55,185,107,309,231,2015:9|2016:25|2017:3|2018:11|2019:7,705
890497090626998273,@LidiaPrevost,LidiaPrevost,Lidia P. T. /❤,user,43,44,95,77,492,2017:25|2018:1|2019:17,698
2534756042,@Sociali17641882,Sociali17641882,Inma Pedrero/❤YoVotoPSOE,user,11,35,56,399,262,2018:9|2019:2,694
935554142,@Amalitarp,Amalitarp,mundo al rev'es,user,10,37,39,390,262,2018:10,682
786916202794844160,@soniapillado70,soniapillado70,Sonia /🔻❤️,user,3,93,39,622,48,2018:3,679
202372417,@abalosmeco,abalosmeco,EN EL NOMBRE DE ÁBALOS,user,0,239,0,674,0,,674
198007257,@soldanmc,soldanmc,M.Carmen Soldán ن ❤,user,7,88,33,605,48,2016:5|2018:2,674
1301187476,@SSarelvis67,SSarelvis67,Sara Elvira Ibarz So/❤️,user,40,54,136,141,378,2018:25|2019:15,639
252341216,@pilarcaballero2,pilarcaballero2,pilar Caballero /❤️,user,12,34,72,387,206,2017:2|2018:8|2019:2,629
214529916,@coudeletras,coudeletras,Teresa G.Fernandez,user,56,44,140,102,353,2014:17|2015:15|2016:16|2017:7|2018:1,623
134425841,@JoseVK62,JoseVK62,Freelance,user,64,34,128,42,383,2014:27|2015:37,617
289228483,@mikihoyos,mikihoyos,Miguel Angel Martín,user,34,120,94,231,270,2015:2|2016:20|2018:12,603
7936692,@estela_goiko,estela_goiko,Estela Goikoetxea💢🔻🇵🇸,user,40,117,116,254,226,2014:4|2015:18|2016:7|2017:7|2018:3|2019:1,600
378525757,@pedro_casares,pedro_casares,Pedro Casares,user,23,194,96,304,215,2015:2|2016:5|2017:16,588
237223544,@elisabeni,elisabeni,Elisa Beni,user,74,76,95,134,225,2013:41|2014:1|2015:1|2016:1|2017:1|2018:16|2019:13,581
905876054052614150,@MAracelicarrasc,MAracelicarrasc,Maria AraceliCarrasc,user,29,16,74,62,421,2017:29,570
782598426022252545,@Militantes_PSOE,Militantes_PSOE,🇺🇦MilitanteSocialista/❤️,user,12,182,62,406,125,2017:4|2018:8,567
183005777,@acuario_venus,acuario_venus,Pepita Garcia Rodríguez/🌹❤️,user,42,19,120,23,413,2016:8|2017:18|2018:10|2019:6,562
362354011,@marianalvarezma,marianalvarezma,Marian Álvarez ❤️💛💜💜💜,user,30,32,138,70,395,2018:21|2019:9,555
753617536915300352,@MribelReal2,MribelReal2,Maribel,user,19,19,72,54,435,2018:14|2019:5,546
2585222520,@DorCabrejas,DorCabrejas,Dor Cabrejas/ ♥️🍊,user,21,135,71,308,161,2016:8|2017:3|2018:4|2019:6,532
1103730410,1103730410,,,derived,0,83,0,531,0,,531
276587164,@jesusfranco87,jesusfranco87,Jesús Franco Gómez/❤,user,7,211,43,448,60,2015:1|2016:5|2017:1,529
312181000,@MarCostaDB,MarCostaDB,Mar Costa Carmona 💜,user,17,90,90,258,218,2016:4|2017:3|2018:7|2019:3,527
85131627,@ciktricstrans,ciktricstrans,Krme #AbolicionProstitución🦖♀️🦖,user,29,35,146,86,349,2015:2|2018:23|2019:4,522
327529852,@Cuetano68,Cuetano68,Marqués de Cueto - Santander,user,27,11,79,31,395,2017:9|2018:18,507
